team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KB스타즈,5,012,200301,01,김지윤,G,40:00,4-9,1-7,4-6,0,1,1,10,1,2,5,0,15
KB스타즈,5,012,200301,01,신정자,C,36:12,3-5,0-0,2-4,4,5,9,0,4,0,1,1,8
KB스타즈,5,012,200301,01,홀즈클로,F,35:43,12-17,1-1,3-5,2,12,14,2,4,3,9,0,30
KB스타즈,5,012,200301,01,김경희,F,28:55,2-4,4-5,2-2,0,1,1,0,2,0,5,0,18
KB스타즈,5,012,200301,01,홍정애,F,27:27,1-2,0-0,0-0,1,1,2,0,3,0,2,1,2
KB스타즈,5,012,200301,01,양희연,F,12:36,4-5,0-1,0-0,2,1,3,0,5,0,0,0,8
KB스타즈,5,012,200301,01,최위정,G,07:58,1-1,0-1,0-0,0,0,0,0,0,1,0,0,2
KB스타즈,5,012,200301,01,김은경,G,06:52,1-1,0-0,0-0,1,0,1,0,3,0,0,0,2
KB스타즈,5,012,200301,01,스노우,C,04:17,1-2,0-0,0-0,1,0,1,0,0,0,0,1,2
KB스타즈,5,012,200301,01,팀합계,팀합계,200:00,29-46,6-15,11-17,11,21,32,12,22,6,22,3,87
