team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
BNK 썸,59,040,202001,01,안혜지,G,37:42,0-5,1-3,0-0,2,0,2,7,2,2,3,0,3
BNK 썸,59,040,202001,01,구슬,F,31:44,2-8,0-5,3-4,2,1,3,0,1,1,2,0,7
BNK 썸,59,040,202001,01,단타스,C,30:00,3-12,2-3,10-11,2,8,10,2,4,1,6,0,22
BNK 썸,59,040,202001,01,진안,C,29:37,1-5,0-0,2-4,3,5,8,1,1,0,0,0,4
BNK 썸,59,040,202001,01,노현지,F,26:28,0-1,1-5,0-0,0,0,0,1,3,0,0,0,3
BNK 썸,59,040,202001,01,김진영,F,22:15,1-5,0-1,0-0,1,3,4,0,2,1,1,0,2
BNK 썸,59,040,202001,01,이소희,G,15:01,1-2,0-1,2-3,1,2,3,0,3,0,1,0,4
BNK 썸,59,040,202001,01,김시온,G,05:48,0-0,0-3,0-0,0,0,0,0,0,1,0,0,0
BNK 썸,59,040,202001,01,김지은,F,01:25,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
BNK 썸,59,040,202001,01,팀합계,팀합계,200:00,8-38,4-21,17-22,11,19,30,11,16,6,13,0,45
