team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
신한은행,75,037,201701,01,윤미지,G,40:00,0-1,1-3,2-2,2,1,3,3,2,0,1,1,5
신한은행,75,037,201701,01,곽주영,F,37:35,6-12,0-0,0-0,2,4,6,1,3,0,2,0,12
신한은행,75,037,201701,01,김단비,F,36:46,2-8,1-5,4-7,1,6,7,10,4,2,1,2,11
신한은행,75,037,201701,01,윌리엄스,F,33:32,6-14,0-0,4-5,4,5,9,0,3,4,4,3,16
신한은행,75,037,201701,01,김연주,F,30:47,0-2,4-8,4-4,2,6,8,1,3,1,4,1,16
신한은행,75,037,201701,01,유승희,F,12:48,0-0,2-3,1-2,0,2,2,1,1,1,2,1,7
신한은행,75,037,201701,01,알렉시즈,F,06:28,0-0,1-1,1-2,0,1,1,0,3,0,2,0,4
신한은행,75,037,201701,01,박혜미,F,01:14,0-1,0-0,0-0,0,1,1,0,1,0,0,0,0
신한은행,75,037,201701,01,김아름,F,00:50,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
신한은행,75,037,201701,01,팀합계,팀합계,200:00,14-38,9-20,16-22,11,26,37,16,20,8,16,8,71
