team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
JOMO,2,009,200203,08,KAWABATA,F,34:52,11-17,0-0,1-1,4,4,8,3,2,0,5,0,23
JOMO,2,009,200203,08,HAMAHUCHI,C,32:21,8-12,0-0,4-5,1,6,7,3,3,1,4,1,20
JOMO,2,009,200203,08,RYOKO,F,31:54,4-4,0-2,4-4,0,5,5,2,3,1,1,0,12
JOMO,2,009,200203,08,,G,30:01,2-6,0-2,2-4,1,1,2,1,2,0,2,0,6
JOMO,2,009,200203,08,SAKURABA,G,20:32,1-2,0-1,0-0,0,0,0,3,1,2,3,0,2
JOMO,2,009,200203,08,KONO,F,20:15,2-4,1-3,0-0,0,2,2,0,1,0,2,0,7
JOMO,2,009,200203,08,KAWAKAMI,G,11:27,0-1,0-1,0-0,0,1,1,1,1,0,0,0,0
JOMO,2,009,200203,08,HAMADA,F,07:39,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
JOMO,2,009,200203,08,OHYAMA,G,05:51,0-2,0-0,0-0,0,2,2,0,0,0,1,0,0
JOMO,2,009,200203,08,,G,05:08,2-3,0-0,0-0,0,1,1,0,0,0,1,0,4
JOMO,2,009,200203,08,팀합계,팀합계,200:00,30-51,1-9,11-14,6,22,28,13,13,4,20,1,74
