team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,17,039,201811,01,박혜진,G,40:00,3-5,4-10,8-10,3,5,8,2,0,0,1,0,26
우리은행,17,039,201811,01,김정은,F,35:33,3-7,2-6,2-2,0,5,5,1,4,1,1,1,14
우리은행,17,039,201811,01,임영희,F,34:27,4-7,1-4,0-4,2,6,8,4,2,1,3,0,11
우리은행,17,039,201811,01,박다정,G,31:27,5-7,0-1,0-0,1,4,5,1,3,0,0,0,10
우리은행,17,039,201811,01,토마스,C,30:00,4-7,0-0,2-4,5,4,9,2,4,1,3,0,10
우리은행,17,039,201811,01,최이샘,C,18:33,0-4,0-0,0-0,1,4,5,0,1,1,2,0,0
우리은행,17,039,201811,01,김소니아,F,10:00,0-1,0-0,2-2,1,0,1,1,0,1,0,0,2
우리은행,17,039,201811,01,팀합계,팀합계,200:00,19-38,7-21,14-22,13,28,41,11,14,5,10,1,73
