team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KB스타즈,92,032,201202,01,강아정,F,35:52,1-2,2-4,3-4,0,4,4,1,5,1,0,0,11
KB스타즈,92,032,201202,01,변연하,F,35:22,2-7,3-7,6-6,1,7,8,4,1,1,1,1,19
KB스타즈,92,032,201202,01,정선화,C,26:23,5-9,0-0,2-3,1,3,4,0,5,2,0,1,12
KB스타즈,92,032,201202,01,김수연,C,26:07,2-6,0-0,1-2,1,6,7,1,2,0,1,0,5
KB스타즈,92,032,201202,01,박선영,G,25:02,1-1,2-5,0-0,1,0,1,2,1,1,0,0,8
KB스타즈,92,032,201202,01,정선민,C,24:05,5-8,0-0,5-5,1,3,4,0,2,1,0,0,15
KB스타즈,92,032,201202,01,박세미,G,14:58,0-1,1-2,0-0,1,0,1,2,2,0,1,0,3
KB스타즈,92,032,201202,01,이경희,F,08:46,0-1,0-1,0-0,0,0,0,0,0,1,0,0,0
KB스타즈,92,032,201202,01,허윤정,C,03:25,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0
KB스타즈,92,032,201202,01,팀합계,팀합계,200:00,16-36,8-19,17-20,6,24,30,10,18,7,3,2,73
