team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KB스타즈,106,032,201202,01,박선영,G,40:00,1-1,4-7,0-0,2,4,6,1,3,1,0,0,14
KB스타즈,106,032,201202,01,정선화,C,37:44,7-13,0-0,3-4,4,6,10,2,3,1,3,3,17
KB스타즈,106,032,201202,01,강아정,F,37:17,6-10,0-2,4-5,1,1,2,3,4,1,2,0,16
KB스타즈,106,032,201202,01,정선민,C,34:26,3-11,0-0,9-12,3,6,9,5,1,1,2,0,15
KB스타즈,106,032,201202,01,이경희,F,18:25,1-2,0-3,2-2,1,2,3,0,2,0,0,0,4
KB스타즈,106,032,201202,01,양선희,F,18:24,1-2,0-0,1-2,1,0,1,0,1,0,1,0,3
KB스타즈,106,032,201202,01,김수연,C,07:50,0-2,0-0,0-0,0,1,1,0,2,0,0,2,0
KB스타즈,106,032,201202,01,변연하,F,05:54,0-1,0-0,0-0,0,1,1,0,0,1,2,0,0
KB스타즈,106,032,201202,01,팀합계,팀합계,200:00,19-42,4-12,19-25,12,21,33,11,16,5,10,5,69
