team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
삼성생명,9,032,201110,01,김계령,C,40:00,10-17,0-0,4-5,0,10,10,1,4,0,3,0,24
삼성생명,9,032,201110,01,박정은,F,40:00,0-0,2-6,1-2,0,5,5,4,2,2,1,1,7
삼성생명,9,032,201110,01,이미선,G,40:00,3-5,1-2,4-4,4,11,15,7,2,5,4,0,13
삼성생명,9,032,201110,01,김한별,F,29:26,5-10,0-2,1-2,2,1,3,3,3,1,3,1,11
삼성생명,9,032,201110,01,이선화,C,25:08,3-5,0-0,0-1,5,1,6,1,3,0,3,0,6
삼성생명,9,032,201110,01,이유진,C,14:10,1-2,0-0,0-0,0,1,1,0,1,0,0,0,2
삼성생명,9,032,201110,01,박태은,G,07:20,1-3,0-2,0-0,0,0,0,0,0,2,0,0,2
삼성생명,9,032,201110,01,정아름,G,03:56,0-0,0-2,0-0,0,0,0,0,2,1,0,0,0
삼성생명,9,032,201110,01,팀합계,팀합계,200:00,23-42,3-14,10-14,11,29,40,16,17,11,14,2,65
