team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
신한은행,5,032,201110,01,최윤아,G,40:00,5-7,0-1,5-6,1,4,5,3,3,2,2,0,15
신한은행,5,032,201110,01,김단비,F,38:31,6-8,1-5,4-4,0,2,2,3,4,0,4,0,19
신한은행,5,032,201110,01,이연화,F,37:38,4-7,1-5,3-3,1,1,2,1,2,1,1,0,14
신한은행,5,032,201110,01,강영숙,C,35:09,7-11,0-0,4-4,2,6,8,6,5,0,1,3,18
신한은행,5,032,201110,01,김연주,F,29:25,0-0,0-2,3-4,3,0,3,2,4,4,1,0,3
신한은행,5,032,201110,01,하은주,C,19:17,5-7,0-0,4-6,1,3,4,0,1,0,0,0,14
신한은행,5,032,201110,01,팀합계,팀합계,200:00,27-40,2-13,23-27,8,16,24,15,19,7,9,3,83
