team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
신한은행,10,025,200711,01,최윤아,G,27:27,4-6,1-3,0-0,1,1,2,4,4,3,3,0,11
신한은행,10,025,200711,01,진미정,F,26:18,1-5,4-8,0-0,1,1,2,1,0,0,2,0,14
신한은행,10,025,200711,01,강영숙,C,22:52,4-4,0-0,0-0,4,1,5,0,2,0,0,2,8
신한은행,10,025,200711,01,전주원,G,21:36,2-2,2-7,1-1,0,1,1,4,2,3,1,1,11
신한은행,10,025,200711,01,정선민,F,20:53,6-10,0-1,1-1,1,8,9,5,4,3,3,0,13
신한은행,10,025,200711,01,선수민,F,19:31,0-1,0-0,2-2,2,1,3,0,3,0,0,0,2
신한은행,10,025,200711,01,한채진,F,15:47,1-3,1-3,2-2,0,0,0,0,2,1,0,1,7
신한은행,10,025,200711,01,김유경,G,13:02,2-2,0-0,2-2,0,2,2,1,0,2,1,0,6
신한은행,10,025,200711,01,이연화,F,09:20,1-3,0-0,2-2,1,0,1,0,1,0,2,0,4
신한은행,10,025,200711,01,박언주,F,08:29,0-1,0-3,0-2,0,1,1,0,0,0,1,0,0
신한은행,10,025,200711,01,김연주,F,06:35,0-0,0-1,0-0,0,3,3,1,2,0,1,0,0
신한은행,10,025,200711,01,김정아,C,05:41,0-1,0-0,0-0,1,0,1,0,2,1,0,0,0
신한은행,10,025,200711,01,최희진,F,02:29,0-0,0-0,1-2,0,0,0,0,0,1,1,0,1
신한은행,10,025,200711,01,팀합계,팀합계,200:00,21-38,8-26,11-14,11,19,30,16,22,14,15,4,77
