team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,1,025,200710,01,김계령,C,40:00,8-15,0-0,10-14,7,8,15,2,2,0,5,0,26
우리은행,1,025,200710,01,김진영,G,39:59,1-4,0-2,1-2,0,4,4,1,1,1,2,0,3
우리은행,1,025,200710,01,김은혜,F,37:54,0-2,2-3,1-2,0,3,3,1,2,1,2,0,7
우리은행,1,025,200710,01,홍현희,C,23:18,1-8,0-0,0-2,3,3,6,0,1,1,2,1,2
우리은행,1,025,200710,01,김은경,F,21:16,2-4,0-0,2-2,0,3,3,1,5,0,3,0,6
우리은행,1,025,200710,01,원진아,F,16:42,1-2,0-0,0-0,5,1,6,0,0,1,3,0,2
우리은행,1,025,200710,01,염윤아,F,12:29,1-3,0-0,0-1,0,1,1,0,0,0,1,1,2
우리은행,1,025,200710,01,박연수,F,04:42,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0
우리은행,1,025,200710,01,홍보라,G,03:40,0-2,0-0,0-0,0,0,0,0,0,0,0,0,0
우리은행,1,025,200710,01,팀합계,팀합계,200:00,14-41,2-5,14-23,15,23,38,5,11,4,19,2,48
