team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts,min_dec,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,game_key,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,opponent
하나은행,4,046,202511,1,이이지마 사키,F,28:46,3-9,3-10,2-2,2,3,5,1,3,2,1,3,17,28.766666666666666,3,9,3,10,2,2,46-202511-4,6,19,31.6,33.3,30.0,100.0,39.5,42.8,14,신한은행
하나은행,4,046,202511,1,박소희,G,25:35,2-4,2-5,0-0,2,0,2,3,3,1,3,0,10,25.583333333333332,2,4,2,5,0,0,46-202511-4,4,9,44.4,50.0,40.0,0.0,55.6,55.6,8,신한은행
하나은행,4,046,202511,1,진안,C,24:26,1-4,0-0,1-2,1,6,7,0,1,0,1,2,3,24.433333333333334,1,4,0,0,1,2,46-202511-4,1,4,25.0,25.0,0.0,50.0,25.0,30.7,7,신한은행
하나은행,4,046,202511,1,박진영,F,23:24,3-4,1-3,3-4,2,0,2,2,3,0,1,1,12,23.4,3,4,1,3,3,4,46-202511-4,4,7,57.1,75.0,33.3,75.0,64.3,68.5,12,신한은행
하나은행,4,046,202511,1,고서연,G,19:26,0-0,0-1,0-0,0,1,1,2,1,0,1,0,0,19.433333333333334,0,0,0,1,0,0,46-202511-4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,신한은행
하나은행,4,046,202511,1,양인영,C,15:34,2-3,0-0,0-0,1,5,6,0,2,0,1,0,4,15.566666666666666,2,3,0,0,0,0,46-202511-4,2,3,66.7,66.7,0.0,0.0,66.7,66.7,8,신한은행
하나은행,4,046,202511,1,정예림,G,13:47,2-3,0-1,2-2,1,1,2,1,3,1,0,0,6,13.783333333333333,2,3,0,1,2,2,46-202511-4,2,4,50.0,66.7,0.0,100.0,50.0,61.5,8,신한은행
하나은행,4,046,202511,1,김정은,F,12:15,0-1,1-2,0-0,2,0,2,0,1,0,0,0,3,12.25,0,1,1,2,0,0,46-202511-4,1,3,33.3,0.0,50.0,0.0,50.0,50.0,3,신한은행
하나은행,4,046,202511,1,이다현,F,02:38,1-1,0-1,0-1,0,0,0,0,0,0,0,0,2,2.6333333333333333,1,1,0,1,0,1,46-202511-4,1,2,50.0,100.0,0.0,0.0,50.0,41.0,0,신한은행
하나은행,4,046,202511,1,팀합계,팀합계,200:00,14-31,8-27,10-13,12,21,33,11,20,6,12,8,62,200.0,14,31,8,27,10,13,46-202511-4,22,58,37.9,45.2,29.6,76.9,44.8,48.7,69,신한은행
삼성생명,5,046,202511,1,하마니시 나나미,G,34:12,0-2,0-1,3-4,1,7,8,3,3,1,3,0,3,34.2,0,2,0,1,3,4,46-202511-5,0,3,0.0,0.0,0.0,75.0,0.0,31.5,8,우리은행
삼성생명,5,046,202511,1,이해란,F,33:13,7-14,1-2,0-4,2,12,14,0,2,0,1,3,17,33.21666666666667,7,14,1,2,0,4,46-202511-5,8,16,50.0,50.0,50.0,0.0,53.1,47.9,21,우리은행
삼성생명,5,046,202511,1,강유림,F,32:07,3-4,3-6,1-4,2,6,8,2,2,0,3,2,16,32.11666666666667,3,4,3,6,1,4,46-202511-5,6,10,60.0,75.0,50.0,25.0,75.0,68.0,18,우리은행
삼성생명,5,046,202511,1,조수아,G,27:07,2-8,0-1,0-0,0,4,4,1,4,0,1,1,4,27.116666666666667,2,8,0,1,0,0,46-202511-5,2,9,22.2,25.0,0.0,0.0,22.2,22.2,2,우리은행
삼성생명,5,046,202511,1,배혜윤,C,25:22,3-4,0-0,9-9,0,2,2,8,3,1,1,0,15,25.366666666666667,3,4,0,0,9,9,46-202511-5,3,4,75.0,75.0,0.0,100.0,75.0,94.2,24,우리은행
삼성생명,5,046,202511,1,최예슬,F,18:44,0-1,0-2,1-2,0,3,3,0,3,0,1,0,1,18.733333333333334,0,1,0,2,1,2,46-202511-5,0,3,0.0,0.0,0.0,50.0,0.0,12.9,-1,우리은행
삼성생명,5,046,202511,1,윤예빈,G,12:14,2-3,0-2,0-0,0,1,1,1,1,1,0,1,4,12.233333333333333,2,3,0,2,0,0,46-202511-5,2,5,40.0,66.7,0.0,0.0,40.0,40.0,5,우리은행
삼성생명,5,046,202511,1,이주연,G,11:40,0-1,0-0,0-0,0,1,1,0,0,0,1,0,0,11.666666666666666,0,1,0,0,0,0,46-202511-5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1,우리은행
삼성생명,5,046,202511,1,김단비,F,01:57,0-0,0-0,0-0,0,2,2,1,0,0,0,0,0,1.95,0,0,0,0,0,0,46-202511-5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,우리은행
삼성생명,5,046,202511,1,김아름,F,01:57,0-0,1-1,0-0,0,1,1,0,0,0,0,0,3,1.95,0,0,1,1,0,0,46-202511-5,1,1,100.0,0.0,100.0,0.0,150.0,150.0,4,우리은행
삼성생명,5,046,202511,1,유하은,F,01:27,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,46-202511-5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,우리은행
삼성생명,5,046,202511,1,팀합계,팀합계,200:00,17-37,5-15,14-23,5,39,44,16,18,3,11,7,63,200.0,17,37,5,15,14,23,46-202511-5,22,52,42.3,45.9,33.3,60.9,47.1,50.7,83,우리은행
우리은행,5,046,202511,1,이민지,G,34:59,1-5,2-11,3-3,1,4,5,1,4,1,1,0,11,34.983333333333334,1,5,2,11,3,3,46-202511-5,3,16,18.8,20.0,18.2,100.0,25.0,31.8,4,삼성생명
우리은행,5,046,202511,1,김단비,F,34:12,5-14,1-5,1-2,5,10,15,3,2,2,3,1,14,34.2,5,14,1,5,1,2,46-202511-5,6,19,31.6,35.7,20.0,50.0,34.2,35.2,18,삼성생명
우리은행,5,046,202511,1,이명관,F,33:18,2-6,0-3,2-2,4,7,11,1,5,2,0,0,6,33.3,2,6,0,3,2,2,46-202511-5,2,9,22.2,33.3,0.0,100.0,22.2,30.4,13,삼성생명
우리은행,5,046,202511,1,세키 나나미,G,28:18,1-6,0-6,0-0,4,1,5,1,5,0,1,0,2,28.3,1,6,0,6,0,0,46-202511-5,1,12,8.3,16.7,0.0,0.0,8.3,8.3,-4,삼성생명
우리은행,5,046,202511,1,강계리,G,17:38,0-2,0-1,2-2,0,0,0,2,1,0,0,0,2,17.633333333333333,0,2,0,1,2,2,46-202511-5,0,3,0.0,0.0,0.0,100.0,0.0,25.8,1,삼성생명
우리은행,5,046,202511,1,심성영,G,13:53,1-2,1-6,0-0,1,0,1,1,2,0,0,0,5,13.883333333333333,1,2,1,6,0,0,46-202511-5,2,8,25.0,50.0,16.7,0.0,31.2,31.2,1,삼성생명
우리은행,5,046,202511,1,오니즈카 아야노,G,12:48,1-3,0-3,0-0,0,1,1,0,3,0,0,0,2,12.8,1,3,0,3,0,0,46-202511-5,1,6,16.7,33.3,0.0,0.0,16.7,16.7,-2,삼성생명
우리은행,5,046,202511,1,김예진,F,10:25,0-1,0-2,0-0,1,1,2,0,0,0,0,0,0,10.416666666666666,0,1,0,2,0,0,46-202511-5,0,3,0.0,0.0,0.0,0.0,0.0,0.0,-1,삼성생명
우리은행,5,046,202511,1,박혜미,F,08:41,1-1,0-2,0-0,1,1,2,0,2,0,1,0,2,8.683333333333334,1,1,0,2,0,0,46-202511-5,1,3,33.3,100.0,0.0,0.0,33.3,33.3,1,삼성생명
우리은행,5,046,202511,1,변하정,F,05:48,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,5.8,0,0,0,0,0,0,46-202511-5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,삼성생명
우리은행,5,046,202511,1,팀합계,팀합계,200:00,12-40,4-39,8-9,17,25,42,9,24,6,6,1,44,200.0,12,40,4,39,8,9,46-202511-5,16,79,20.3,30.0,10.3,88.9,22.8,26.5,32,삼성생명
BNK썸,6,046,202511,1,안혜지,G,37:53,2-9,3-5,0-0,2,3,5,5,4,0,0,0,13,37.88333333333333,2,9,3,5,0,0,46-202511-6,5,14,35.7,22.2,60.0,0.0,46.4,46.4,14,KB스타즈
BNK썸,6,046,202511,1,박혜진,G,37:27,2-7,2-8,2-2,3,10,13,2,1,0,1,0,12,37.45,2,7,2,8,2,2,46-202511-6,4,15,26.7,28.6,25.0,100.0,33.3,37.8,15,KB스타즈
BNK썸,6,046,202511,1,김소니아,F,34:27,4-6,0-1,0-0,5,10,15,5,2,1,2,0,8,34.45,4,6,0,1,0,0,46-202511-6,4,7,57.1,66.7,0.0,0.0,57.1,57.1,24,KB스타즈
BNK썸,6,046,202511,1,이소희,G,34:01,1-4,2-5,4-6,0,4,4,0,1,0,0,0,12,34.016666666666666,1,4,2,5,4,6,46-202511-6,3,9,33.3,25.0,40.0,66.7,44.4,51.5,8,KB스타즈
BNK썸,6,046,202511,1,변소정,F,22:33,3-8,0-1,0-4,3,1,4,0,2,0,0,0,6,22.55,3,8,0,1,0,4,46-202511-6,3,9,33.3,37.5,0.0,0.0,33.3,27.9,0,KB스타즈
BNK썸,6,046,202511,1,김정은,F,16:43,0-4,0-1,1-2,0,1,1,1,2,0,0,0,1,16.716666666666665,0,4,0,1,1,2,46-202511-6,0,5,0.0,0.0,0.0,50.0,0.0,8.5,-3,KB스타즈
BNK썸,6,046,202511,1,김도연,C,10:28,1-5,0-0,0-0,0,1,1,0,4,0,0,0,2,10.466666666666667,1,5,0,0,0,0,46-202511-6,1,5,20.0,20.0,0.0,0.0,20.0,20.0,-1,KB스타즈
BNK썸,6,046,202511,1,심수현,G,03:16,0-1,0-0,1-2,0,0,0,0,0,0,0,0,1,3.2666666666666666,0,1,0,0,1,2,46-202511-6,0,1,0.0,0.0,0.0,50.0,0.0,26.6,-1,KB스타즈
BNK썸,6,046,202511,1,박성진,C,02:36,0-1,0-0,0-0,1,1,2,0,3,0,0,0,0,2.6,0,1,0,0,0,0,46-202511-6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,KB스타즈
BNK썸,6,046,202511,1,김민아,G,00:36,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,46-202511-6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,KB스타즈
BNK썸,6,046,202511,1,팀합계,팀합계,200:00,13-45,7-21,8-16,14,31,45,13,19,1,3,0,55,200.0,13,45,7,21,8,16,46-202511-6,20,66,30.3,28.9,33.3,50.0,35.6,37.7,57,KB스타즈
KB스타즈,6,046,202511,1,강이슬,F,35:45,4-11,1-6,0-0,4,9,13,3,4,0,0,1,11,35.75,4,11,1,6,0,0,46-202511-6,5,17,29.4,36.4,16.7,0.0,32.4,32.4,16,BNK썸
KB스타즈,6,046,202511,1,허예은,G,33:37,1-3,2-8,1-2,2,3,5,9,4,1,2,0,9,33.61666666666667,1,3,2,8,1,2,46-202511-6,3,11,27.3,33.3,25.0,50.0,36.4,37.9,13,BNK썸
KB스타즈,6,046,202511,1,사카이 사라,G,29:32,0-3,2-6,0-0,0,3,3,1,4,0,0,0,6,29.533333333333335,0,3,2,6,0,0,46-202511-6,2,9,22.2,0.0,33.3,0.0,33.3,33.3,3,BNK썸
KB스타즈,6,046,202511,1,박지수,C,27:15,9-16,0-1,5-11,4,7,11,5,1,0,1,2,23,27.25,9,16,0,1,5,11,46-202511-6,9,17,52.9,56.2,0.0,45.5,52.9,52.7,26,BNK썸
KB스타즈,6,046,202511,1,이채은,G,25:20,1-1,1-1,0-0,1,2,3,1,3,0,0,0,5,25.333333333333332,1,1,1,1,0,0,46-202511-6,2,2,100.0,100.0,100.0,0.0,125.0,125.0,9,BNK썸
KB스타즈,6,046,202511,1,양지수,F,18:23,0-1,2-5,0-0,0,2,2,0,1,1,0,0,6,18.383333333333333,0,1,2,5,0,0,46-202511-6,2,6,33.3,0.0,40.0,0.0,50.0,50.0,5,BNK썸
KB스타즈,6,046,202511,1,송윤하,C,12:45,0-1,0-0,0-0,1,2,3,1,1,0,0,3,0,12.75,0,1,0,0,0,0,46-202511-6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,6,BNK썸
KB스타즈,6,046,202511,1,나윤정,F,07:49,1-1,0-3,2-2,0,1,1,0,0,0,0,0,4,7.816666666666666,1,1,0,3,2,2,46-202511-6,1,4,25.0,100.0,0.0,100.0,25.0,41.0,2,BNK썸
KB스타즈,6,046,202511,1,성수연,G,07:46,0-1,0-1,0-0,1,0,1,0,1,0,0,0,0,7.766666666666667,0,1,0,1,0,0,46-202511-6,0,2,0.0,0.0,0.0,0.0,0.0,0.0,-1,BNK썸
KB스타즈,6,046,202511,1,고리미,F,00:36,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,46-202511-6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,BNK썸
KB스타즈,6,046,202511,1,고현지,F,00:36,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,46-202511-6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,BNK썸
KB스타즈,6,046,202511,1,이여명,G,00:36,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,0.6,0,0,0,0,0,0,46-202511-6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,BNK썸
KB스타즈,6,046,202511,1,팀합계,팀합계,200:00,16-38,8-31,8-15,13,29,42,20,20,2,3,6,64,200.0,16,38,8,31,8,15,46-202511-6,24,69,34.8,42.1,25.8,53.3,40.6,42.3,79,BNK썸
신한은행,7,046,202511,1,홍유순,F,36:02,3-8,2-3,0-0,0,4,4,0,4,0,0,2,12,36.03333333333333,3,8,2,3,0,0,46-202511-7,5,11,45.5,37.5,66.7,0.0,54.5,54.5,12,우리은행
신한은행,7,046,202511,1,고나연,F,31:46,0-3,5-8,0-0,1,2,3,1,3,0,0,0,15,31.766666666666666,0,3,5,8,0,0,46-202511-7,5,11,45.5,0.0,62.5,0.0,68.2,68.2,13,우리은행
