season_gu,game_type,ym,game_no,game_key,team,min_total,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts_for,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,opponent,pts_against,margin,win,pts
006,1,200006,27,6-1-200006-27,KB스타즈,200.0,23,50,1,12,13,18,9,22,31,15,14,8,22,6,62,24,62,38.7,46.0,8.3,72.2,39.5,44.3,57,삼성생명,97,-35,False,62
006,1,200006,27,6-1-200006-27,삼성생명,200.0,32,56,10,19,3,4,9,26,35,22,20,12,11,4,97,42,75,56.0,57.1,52.6,75.0,62.7,63.2,125,KB스타즈,62,35,True,97
006,1,200006,28,6-1-200006-28,금호생명,200.0,17,40,8,20,7,12,16,22,38,13,20,9,26,9,65,25,60,41.7,42.5,40.0,58.3,48.3,49.8,68,현대,78,-13,False,65
006,1,200006,28,6-1-200006-28,현대,200.0,24,50,7,18,9,13,15,19,34,18,16,15,16,6,78,31,68,45.6,48.0,38.9,69.2,50.7,52.9,94,금호생명,65,13,True,78
006,1,200006,29,6-1-200006-29,KB스타즈,200.0,25,47,10,21,9,14,10,22,32,24,23,8,11,3,89,35,68,51.5,53.2,47.6,64.3,58.8,60.0,107,우리은행,82,7,True,89
006,1,200006,29,6-1-200006-29,우리은행,200.0,23,44,6,15,18,23,9,22,31,17,16,6,11,7,82,29,59,49.2,52.3,40.0,78.3,54.2,59.3,97,KB스타즈,89,-7,False,82
006,1,200006,30,6-1-200006-30,신세계,200.0,28,46,5,15,20,23,12,29,41,23,16,8,17,7,91,33,61,54.1,60.9,33.3,87.0,58.2,64.0,122,현대,75,16,True,91
006,1,200006,30,6-1-200006-30,현대,200.0,24,50,5,20,12,13,11,19,30,13,22,9,12,2,75,29,70,41.4,48.0,25.0,92.3,45.0,49.5,75,신세계,91,-16,False,75
006,1,200006,31,6-1-200006-31,KB스타즈,200.0,28,46,5,17,3,8,11,28,39,20,14,3,10,5,74,33,63,52.4,60.9,29.4,37.5,56.3,55.6,96,금호생명,67,7,True,74
006,1,200006,31,6-1-200006-31,금호생명,200.0,24,59,4,18,7,14,20,22,42,9,14,6,6,4,67,28,77,36.4,40.7,22.2,50.0,39.0,40.3,66,KB스타즈,74,-7,False,67
