season_gu,team,name,gp,pos,min_total,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,min_per_game,scope
046,KB스타즈,고리미,3,F,11.899999999999999,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,4.0,8.0,50.0,66.7,0.0,0.0,50.0,50.0,4.0,4.0,totals
046,KB스타즈,고현지,5,F,21.166666666666668,2.0,8.0,0.0,0.0,0.0,4.0,2.0,6.0,8.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,8.0,25.0,25.0,0.0,0.0,25.0,20.5,0.0,4.2,totals
046,KB스타즈,나윤정,13,F,505.6,20.0,62.0,42.0,148.0,4.0,4.0,22.0,46.0,68.0,16.0,46.0,14.0,10.0,2.0,170.0,62.0,210.0,29.5,32.3,28.4,100.0,39.5,40.1,112.0,38.9,totals
046,KB스타즈,박지수,7,C,241.7,76.0,132.0,4.0,8.0,18.0,44.0,34.0,62.0,96.0,22.0,22.0,2.0,20.0,14.0,182.0,80.0,140.0,57.1,57.6,50.0,40.9,58.6,57.1,210.0,34.5,totals
046,KB스타즈,사카이 사라,13,G,771.5333333333333,42.0,126.0,30.0,94.0,10.0,10.0,28.0,68.0,96.0,64.0,62.0,44.0,40.0,0.0,184.0,72.0,220.0,32.7,33.3,31.9,100.0,39.5,41.0,200.0,59.3,totals
046,KB스타즈,성수연,13,G,261.03333333333336,12.0,34.0,2.0,30.0,8.0,14.0,12.0,24.0,36.0,34.0,46.0,6.0,12.0,6.0,38.0,14.0,64.0,21.9,35.3,6.7,57.1,23.4,27.1,52.0,20.1,totals
046,KB스타즈,송윤하,13,C,664.0,82.0,170.0,6.0,22.0,18.0,18.0,50.0,84.0,134.0,40.0,58.0,16.0,18.0,36.0,200.0,88.0,192.0,45.8,48.2,27.3,100.0,47.4,50.0,304.0,51.1,totals
046,KB스타즈,양지수,13,F,307.7,8.0,24.0,18.0,38.0,2.0,8.0,12.0,30.0,42.0,6.0,28.0,16.0,6.0,0.0,72.0,26.0,62.0,41.9,33.3,47.4,25.0,56.5,54.9,88.0,23.7,totals
046,KB스타즈,이여명,4,G,16.333333333333332,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.1,totals
046,KB스타즈,이채은,13,G,696.4333333333333,56.0,108.0,32.0,80.0,26.0,28.0,28.0,48.0,76.0,30.0,54.0,34.0,32.0,0.0,234.0,88.0,188.0,46.8,51.9,40.0,92.9,55.3,58.4,240.0,53.6,totals
046,KB스타즈,팀합계,13,팀합계,5200.0,424.0,976.0,234.0,744.0,176.0,254.0,270.0,598.0,868.0,442.0,468.0,190.0,226.0,74.0,1726.0,658.0,1720.0,38.3,43.4,31.5,69.3,45.1,47.1,1934.0,400.0,totals
046,KB스타즈,허예은,13,G,882.4333333333333,44.0,116.0,54.0,170.0,34.0,40.0,24.0,86.0,110.0,174.0,72.0,32.0,52.0,4.0,284.0,98.0,286.0,34.3,37.9,31.8,85.0,43.7,46.8,358.0,67.9,totals
046,삼성생명,가와무라 미유키,9,C,239.6,20.0,58.0,0.0,4.0,8.0,18.0,18.0,10.0,28.0,16.0,24.0,4.0,16.0,6.0,48.0,20.0,62.0,32.3,34.5,0.0,44.4,32.3,34.3,34.0,26.6,totals
046,삼성생명,강유림,12,F,818.0333333333333,56.0,110.0,20.0,114.0,56.0,64.0,42.0,62.0,104.0,44.0,60.0,26.0,32.0,32.0,228.0,76.0,224.0,33.9,50.9,17.5,87.5,38.4,45.2,246.0,68.2,totals
046,삼성생명,김단비,4,F,45.333333333333336,0.0,8.0,2.0,6.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,4.0,2.0,0.0,6.0,2.0,14.0,14.3,0.0,33.3,0.0,21.4,21.4,12.0,11.3,totals
046,삼성생명,김아름,12,F,458.1,8.0,28.0,30.0,72.0,10.0,12.0,30.0,48.0,78.0,22.0,64.0,4.0,16.0,0.0,116.0,38.0,100.0,38.0,28.6,41.7,83.3,53.0,55.1,140.0,38.2,totals
046,삼성생명,배혜윤,11,C,522.9666666666667,48.0,110.0,0.0,0.0,62.0,68.0,36.0,66.0,102.0,82.0,36.0,10.0,34.0,10.0,158.0,48.0,110.0,43.6,43.6,0.0,91.2,43.6,56.5,260.0,47.5,totals
046,삼성생명,유하은,5,F,62.53333333333333,2.0,6.0,2.0,10.0,0.0,0.0,0.0,8.0,8.0,2.0,8.0,2.0,4.0,0.0,10.0,4.0,16.0,25.0,33.3,20.0,0.0,31.2,31.2,6.0,12.5,totals
046,삼성생명,윤예빈,11,G,391.7,36.0,70.0,6.0,40.0,16.0,34.0,20.0,62.0,82.0,22.0,36.0,20.0,18.0,14.0,106.0,42.0,110.0,38.2,51.4,15.0,47.1,40.9,42.4,140.0,35.6,totals
046,삼성생명,이예나,2,F,14.8,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,7.4,totals
046,삼성생명,이주연,4,G,127.19999999999999,6.0,22.0,2.0,16.0,0.0,0.0,2.0,8.0,10.0,4.0,14.0,4.0,12.0,0.0,18.0,8.0,38.0,21.1,27.3,12.5,0.0,23.7,23.7,-6.0,31.8,totals
046,삼성생명,이해란,12,F,844.1666666666666,180.0,346.0,16.0,68.0,80.0,130.0,44.0,160.0,204.0,22.0,76.0,34.0,48.0,32.0,488.0,196.0,414.0,47.3,52.0,23.5,61.5,49.3,51.8,464.0,70.3,totals
046,삼성생명,조수아,12,G,551.1333333333333,30.0,92.0,24.0,74.0,40.0,48.0,12.0,64.0,76.0,64.0,48.0,14.0,26.0,4.0,172.0,54.0,166.0,32.5,32.6,32.4,83.3,39.8,46.0,184.0,45.9,totals
046,삼성생명,최예슬,11,F,282.23333333333335,20.0,36.0,4.0,14.0,2.0,4.0,8.0,30.0,38.0,8.0,32.0,4.0,16.0,0.0,54.0,24.0,50.0,48.0,55.6,28.6,50.0,52.0,52.2,60.0,25.7,totals
046,삼성생명,팀합계,12,팀합계,4850.0,434.0,968.0,112.0,462.0,298.0,408.0,228.0,568.0,796.0,360.0,464.0,142.0,264.0,102.0,1502.0,546.0,1430.0,38.2,44.8,24.2,73.0,42.1,46.7,1644.0,404.2,totals
046,삼성생명,하마니시 나나미,12,G,492.2,28.0,76.0,6.0,44.0,24.0,30.0,16.0,42.0,58.0,66.0,64.0,16.0,38.0,4.0,98.0,34.0,120.0,28.3,36.8,13.6,80.0,30.8,36.8,112.0,41.0,totals
046,신한은행,고나연,10,F,359.8,14.0,44.0,22.0,70.0,4.0,4.0,16.0,24.0,40.0,24.0,44.0,6.0,14.0,2.0,98.0,36.0,114.0,31.6,31.8,31.4,100.0,41.2,42.3,78.0,36.0,totals
046,신한은행,김지영,3,G,138.03333333333333,10.0,26.0,0.0,12.0,0.0,0.0,2.0,14.0,16.0,26.0,16.0,0.0,12.0,4.0,20.0,10.0,38.0,26.3,38.5,0.0,0.0,26.3,26.3,26.0,46.0,totals
