team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
신세계,32,006,200006,01,양선애,G,40:00,3-3,4-9,2-2,0,2,2,2,2,3,1,0,20
신세계,32,006,200006,01,이언주,F,40:00,4-5,3-9,4-4,0,3,3,3,3,2,4,0,21
신세계,32,006,200006,01,장선형,F,40:00,4-5,1-3,0-0,7,2,9,6,3,1,4,0,11
신세계,32,006,200006,01,정선민,C,40:00,4-16,0-0,5-7,2,9,11,4,3,0,4,0,13
신세계,32,006,200006,01,홍정애,F,26:51,4-10,0-0,0-0,4,3,7,3,2,2,1,0,8
신세계,32,006,200006,01,천리샤,,13:09,0-1,0-0,0-0,1,1,2,0,1,0,1,0,0
신세계,32,006,200006,01,팀합계,팀합계,200:00,19-40,8-21,11-13,14,20,34,18,14,8,15,0,73
