team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
삼성생명,48,006,200007,01,이미선,G,40:00,9-13,0-1,2-3,6,4,10,6,3,3,2,0,20
삼성생명,48,006,200007,01,박정은,F,39:49,3-12,4-6,1-2,2,0,2,2,4,1,2,1,19
삼성생명,48,006,200007,01,김계령,C,38:59,6-13,0-0,3-6,5,4,9,2,2,2,1,2,15
삼성생명,48,006,200007,01,변연하,F,32:38,3-4,5-8,6-7,1,1,2,1,1,0,2,1,27
삼성생명,48,006,200007,01,유영주,A,20:09,0-1,0-4,0-0,2,2,4,3,5,1,1,0,0
삼성생명,48,006,200007,01,허윤정,C,17:16,1-2,0-0,1-2,1,3,4,1,5,0,1,0,3
삼성생명,48,006,200007,01,웬징,,06:56,0-0,0-0,2-2,0,1,1,0,0,0,1,0,2
삼성생명,48,006,200007,01,박선영,G,03:12,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
삼성생명,48,006,200007,01,왕푸잉,,01:01,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
삼성생명,48,006,200007,01,팀합계,팀합계,200:00,22-45,9-19,15-22,17,15,32,15,20,7,11,4,86
