team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
중부선발,1,034,201401,10,김정은,F,25:17,4-8,1-2,0-0,4,1,5,3,1,1,2,0,11
중부선발,1,034,201401,10,임영희,F,22:42,1-1,3-8,0-0,0,3,3,2,0,0,0,0,11
중부선발,1,034,201401,10,박혜진,G,22:07,2-3,4-5,0-0,1,6,7,2,0,1,0,0,16
중부선발,1,034,201401,10,샌포드,C,21:03,4-10,1-3,4-7,1,3,4,3,4,0,4,0,15
중부선발,1,034,201401,10,이승아,G,20:00,3-4,0-0,0-0,1,3,4,2,2,1,1,0,6
중부선발,1,034,201401,10,굿렛,C,17:53,9-11,0-0,0-2,6,8,14,1,0,1,2,0,18
중부선발,1,034,201401,10,신정자,C,17:18,1-3,0-0,0-0,0,3,3,3,1,0,1,0,2
중부선발,1,034,201401,10,한채진,F,12:42,0-0,1-2,0-0,0,2,2,0,0,0,0,0,3
중부선발,1,034,201401,10,이경은,G,12:38,0-0,0-1,0-0,0,1,1,2,2,1,2,0,0
중부선발,1,034,201401,10,이연화,F,12:01,1-2,0-1,0-0,0,0,0,1,1,0,0,0,2
중부선발,1,034,201401,10,강영숙,C,10:53,2-3,0-0,0-0,0,1,1,0,0,0,2,0,4
중부선발,1,034,201401,10,양지희,C,05:26,1-4,0-0,0-0,0,0,0,1,0,0,1,1,2
중부선발,1,034,201401,10,팀합계,팀합계,200:00,28-49,10-22,4-9,13,31,44,20,11,5,15,1,90
