team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,33,045,202412,01,이명관,F,33:17,6-6,1-4,1-2,1,5,6,0,2,1,5,0,16
우리은행,33,045,202412,01,김단비,F,31:43,5-14,1-3,4-6,1,5,6,2,4,0,4,2,17
우리은행,33,045,202412,01,김예진,F,26:20,0-1,3-4,2-2,2,3,5,0,2,0,0,0,11
우리은행,33,045,202412,01,변하정,F,25:22,1-1,0-3,0-0,1,5,6,1,2,0,0,1,2
우리은행,33,045,202412,01,스나가와 나츠키,G,20:24,0-2,0-3,1-2,1,1,2,3,3,3,2,0,1
우리은행,33,045,202412,01,미야사카 모모나,G,18:19,0-0,0-3,0-0,0,4,4,1,3,1,4,0,0
우리은행,33,045,202412,01,심성영,G,17:33,0-1,0-3,1-2,0,1,1,0,2,1,0,0,1
우리은행,33,045,202412,01,한엄지,F,15:08,0-0,0-1,2-2,1,0,1,0,4,0,0,2,2
우리은행,33,045,202412,01,김솔,F,03:58,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0
우리은행,33,045,202412,01,박혜미,F,03:58,0-1,0-0,0-0,0,1,1,0,1,0,0,0,0
우리은행,33,045,202412,01,이민지,G,03:58,0-1,0-0,0-0,0,0,0,0,1,0,1,0,0
우리은행,33,045,202412,01,팀합계,팀합계,200:00,12-27,5-25,11-16,7,25,32,7,24,6,16,5,50
