team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
삼성생명,32,029,200911,01,박정은,F,40:00,0-1,5-13,2-2,3,10,13,6,3,0,4,0,17
삼성생명,32,029,200911,01,선수민,F,40:00,5-10,0-1,2-3,3,4,7,2,3,0,2,0,12
삼성생명,32,029,200911,01,이미선,G,40:00,6-8,0-1,8-10,0,5,5,8,4,3,4,1,20
삼성생명,32,029,200911,01,이종애,C,40:00,4-14,0-0,3-4,3,6,9,2,4,2,3,5,11
삼성생명,32,029,200911,01,허윤정,C,40:00,3-7,0-0,0-0,0,4,4,0,2,2,0,0,6
삼성생명,32,029,200911,01,팀합계,팀합계,200:00,18-40,5-15,15-19,9,29,38,18,16,7,13,6,66
