team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KB스타즈,32,029,200911,01,정선화,C,38:27,7-16,0-1,5-7,3,12,15,2,3,1,4,2,19
KB스타즈,32,029,200911,01,변연하,F,38:11,2-5,1-6,3-3,0,5,5,8,2,1,1,2,10
KB스타즈,32,029,200911,01,김수연,C,30:06,6-15,0-0,0-0,1,3,4,0,4,0,1,0,12
KB스타즈,32,029,200911,01,김영옥,G,26:10,1-1,0-4,2-2,1,0,1,1,3,3,1,0,4
KB스타즈,32,029,200911,01,김나연,F,25:33,5-6,0-0,0-0,1,0,1,1,5,1,1,0,10
KB스타즈,32,029,200911,01,박선영,G,19:49,1-4,1-1,0-0,0,1,1,2,3,2,1,0,5
KB스타즈,32,029,200911,01,곽주영,C,07:38,0-1,0-0,0-0,0,1,1,0,0,0,1,0,0
KB스타즈,32,029,200911,01,김지현,G,07:18,0-0,0-1,0-0,0,0,0,0,4,0,0,0,0
KB스타즈,32,029,200911,01,강아정,F,06:48,0-0,0-1,0-0,1,0,1,0,0,0,0,0,0
KB스타즈,32,029,200911,01,팀합계,팀합계,200:00,22-48,2-14,10-12,7,22,29,14,24,8,10,4,60
