team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,10,041,202010,01,박지현,G,40:00,9-11,1-7,2-2,4,11,15,5,2,2,3,0,23
우리은행,10,041,202010,01,김소니아,F,36:27,7-16,0-2,3-3,0,5,5,5,2,4,1,0,17
우리은행,10,041,202010,01,김진희,G,36:27,4-4,2-6,2-2,0,3,3,7,2,3,1,0,16
우리은행,10,041,202010,01,김정은,F,31:05,1-4,1-5,4-7,0,5,5,1,2,0,3,0,9
우리은행,10,041,202010,01,박다정,G,22:18,4-6,1-2,0-0,0,2,2,0,2,1,0,0,11
우리은행,10,041,202010,01,홍보람,F,15:53,0-0,0-1,0-0,1,2,3,1,2,0,0,0,0
우리은행,10,041,202010,01,유현이,F,10:39,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
우리은행,10,041,202010,01,나윤정,G,03:33,0-0,0-1,0-0,0,0,0,0,1,0,0,0,0
우리은행,10,041,202010,01,노은서,F,01:49,0-0,0-0,0-2,0,0,0,0,1,0,0,0,0
우리은행,10,041,202010,01,신민지,G,01:49,1-2,0-0,1-2,0,0,0,0,0,0,0,0,3
우리은행,10,041,202010,01,팀합계,팀합계,200:00,26-43,5-24,12-18,5,29,34,19,14,10,8,0,79
