team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
삼성생명,40,031,201012,01,이종애,C,37:13,5-11,0-0,1-2,1,4,5,1,3,0,2,1,11
삼성생명,40,031,201012,01,이미선,G,35:03,4-6,1-5,3-3,1,7,8,4,1,3,1,0,14
삼성생명,40,031,201012,01,박정은,F,33:39,2-6,3-6,1-2,1,0,1,4,1,1,2,1,14
삼성생명,40,031,201012,01,김한별,G,31:36,3-5,0-2,0-0,3,5,8,6,3,2,3,1,6
삼성생명,40,031,201012,01,홍보람,F,19:47,0-1,1-5,1-2,2,1,3,0,3,0,2,0,4
삼성생명,40,031,201012,01,박언주,F,12:24,0-0,0-1,0-2,2,0,2,0,2,0,1,0,0
삼성생명,40,031,201012,01,이유진,C,11:44,2-3,0-0,0-0,1,1,2,0,5,0,0,1,4
삼성생명,40,031,201012,01,이선화,C,06:52,3-5,0-0,2-2,0,1,1,0,3,0,0,0,8
삼성생명,40,031,201012,01,허윤정,C,05:42,1-1,0-0,0-0,0,0,0,0,1,0,0,0,2
삼성생명,40,031,201012,01,박태은,G,04:57,0-0,0-0,0-0,1,2,3,1,0,0,1,0,0
삼성생명,40,031,201012,01,선수민,C,01:03,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0
삼성생명,40,031,201012,01,팀합계,팀합계,200:00,20-38,5-19,8-13,12,21,33,16,22,7,12,4,63
