team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,86,031,201102,01,박혜진,G,40:00,0-1,1-4,2-2,1,2,3,7,4,0,1,0,5
우리은행,86,031,201102,01,양지희,C,38:41,9-19,0-0,2-4,3,8,11,3,3,1,2,2,20
우리은행,86,031,201102,01,배혜윤,F,37:18,5-11,0-0,3-4,3,3,6,0,2,1,2,0,13
우리은행,86,031,201102,01,임영희,F,33:50,4-5,0-0,2-2,0,1,1,5,2,0,3,0,10
우리은행,86,031,201102,01,김은경,F,19:16,0-2,0-1,2-3,1,0,1,0,3,2,1,0,2
우리은행,86,031,201102,01,고아라,F,19:00,1-3,1-3,2-2,1,2,3,1,4,0,0,0,7
우리은행,86,031,201102,01,린다 월링턴,F,07:54,1-2,0-0,0-0,0,2,2,0,2,0,1,0,2
우리은행,86,031,201102,01,김아름,C,04:01,0-1,0-0,0-0,0,0,0,0,2,0,1,0,0
우리은행,86,031,201102,01,팀합계,팀합계,200:00,20-44,2-8,13-17,9,18,27,16,22,4,11,2,59
