team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,62,008,200108,01,조혜진,F,39:23,7-11,1-5,5-5,0,0,0,3,2,1,2,0,22
우리은행,62,008,200108,01,카트리나,C,36:27,8-11,0-0,1-1,7,13,20,1,4,2,2,3,17
우리은행,62,008,200108,01,박순양,F,35:53,4-5,1-3,3-4,2,0,2,3,4,0,3,0,14
우리은행,62,008,200108,01,이종애,C,35:01,5-10,0-1,4-5,1,5,6,4,4,1,1,1,14
우리은행,62,008,200108,01,김소현,G,30:00,1-6,0-2,2-2,0,2,2,2,4,0,1,0,4
우리은행,62,008,200108,01,김나연,G,13:20,0-0,0-0,0-0,0,0,0,1,1,0,1,0,0
우리은행,62,008,200108,01,강영숙,C,05:36,1-1,0-0,2-3,0,0,0,0,0,0,2,2,4
우리은행,62,008,200108,01,죠안나,,03:33,0-0,1-2,0-0,0,1,1,0,1,0,1,0,3
우리은행,62,008,200108,01,김보민,G,00:47,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
우리은행,62,008,200108,01,팀합계,팀합계,200:00,26-44,3-13,17-20,10,21,31,14,20,4,13,6,78
