team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
Chanson,2,017,200503,08,ISHIKAWA,F,31:40,1-3,0-1,7-8,1,1,2,1,3,4,1,0,9
Chanson,2,017,200503,08,NAGATA,F,29:51,6-14,1-3,3-6,1,5,6,3,4,1,3,0,18
Chanson,2,017,200503,08,AIZAWA,G,28:58,1-4,2-5,0-0,1,1,2,3,4,2,3,0,8
Chanson,2,017,200503,08,MIKI,G,24:09,1-7,0-2,0-0,0,0,0,5,3,1,0,1,2
Chanson,2,017,200503,08,EGUCHI,C,23:40,3-6,0-0,1-2,0,1,1,0,4,0,2,0,7
Chanson,2,017,200503,08,IKEZUMI,F,15:08,0-2,1-2,1-2,0,0,0,0,1,0,0,0,4
Chanson,2,017,200503,08,WATANABE,F,12:58,0-1,0-0,0-0,0,2,2,0,2,1,0,0,0
Chanson,2,017,200503,08,MORIMOTO,F,11:51,2-5,0-0,0-0,2,0,2,0,0,2,1,0,4
Chanson,2,017,200503,08,TAMASHIRO,C,10:00,0-3,0-0,2-2,1,2,3,2,3,0,1,0,2
Chanson,2,017,200503,08,FUJIU,G,06:06,0-1,0-0,2-2,1,1,2,1,1,0,0,0,2
Chanson,2,017,200503,08,YAMADA,G,03:04,1-2,0-1,0-0,0,0,0,0,0,1,0,0,2
Chanson,2,017,200503,08,OKUOKA,F,02:35,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
Chanson,2,017,200503,08,팀합계,팀합계,200:00,15-49,4-14,16-22,7,13,20,15,25,12,11,1,58
