team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,27,003,199908,01,박순양,F,40:00,4-7,0-2,2-2,1,2,3,2,2,1,0,1,10
우리은행,27,003,199908,01,양희연,F,40:00,1-4,2-3,6-8,3,5,8,2,4,1,2,2,14
우리은행,27,003,199908,01,조혜진,F,36:53,4-10,0-2,2-2,0,8,8,1,3,2,4,1,10
우리은행,27,003,199908,01,윤배정,B,32:15,2-3,1-4,3-4,1,1,2,3,4,2,3,0,10
우리은행,27,003,199908,01,이종애,C,28:25,7-14,0-0,3-4,3,6,9,1,5,1,1,0,17
우리은행,27,003,199908,01,손영미,F,13:00,0-1,0-0,0-0,0,0,0,3,5,0,2,0,0
우리은행,27,003,199908,01,안자은,,09:27,0-2,0-0,1-2,1,1,2,1,2,3,1,0,1
우리은행,27,003,199908,01,팀합계,팀합계,200:00,18-41,3-11,17-22,9,23,32,13,25,10,13,4,62
