team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,41,011,200208,01,이종애,C,40:00,1-7,0-0,8-10,1,8,9,3,3,1,3,1,10
우리은행,41,011,200208,01,홍현희,C,35:36,4-11,1-1,2-2,5,5,10,2,1,1,1,3,13
우리은행,41,011,200208,01,조혜진,F,35:05,8-15,3-4,2-3,1,6,7,0,3,2,0,0,27
우리은행,41,011,200208,01,김나연,G,32:10,2-6,1-2,1-2,0,1,1,1,5,1,2,0,8
우리은행,41,011,200208,01,마로스,C,30:13,5-13,0-0,1-2,4,4,8,0,3,1,4,1,11
우리은행,41,011,200208,01,강영숙,C,14:11,0-2,0-0,0-0,1,0,1,0,2,0,0,0,0
우리은행,41,011,200208,01,이연화,F,06:40,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0
우리은행,41,011,200208,01,서영경,G,04:10,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
우리은행,41,011,200208,01,김은혜,F,01:55,0-0,0-1,0-0,0,0,0,0,1,0,0,0,0
우리은행,41,011,200208,01,팀합계,팀합계,200:00,20-55,5-8,14-19,12,24,36,6,19,6,10,5,69
