team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
캐세이,3,033,201304,08,Liu Chun-Yi,F,30:02,6-8,1-1,1-2,2,5,7,2,2,3,2,3,16
캐세이,3,033,201304,08,왕 잉리,F,25:55,0-2,2-6,0-0,1,3,4,2,1,1,1,0,6
캐세이,3,033,201304,08,Lan Hao-Yu,F,25:47,1-5,1-5,0-0,0,3,3,2,1,1,2,0,5
캐세이,3,033,201304,08,Chen Yi-Feng,G,25:37,1-2,0-0,2-2,1,2,3,5,3,0,1,0,4
캐세이,3,033,201304,08,Li You-Ruei,F,23:32,2-4,0-0,2-2,2,3,5,1,5,0,1,0,6
캐세이,3,033,201304,08,Huang Ping-Jen,F,22:09,3-6,2-2,2-2,3,3,6,2,3,2,2,0,14
캐세이,3,033,201304,08,Cheng Hui-Yun,C,18:55,4-10,0-0,3-4,3,3,6,2,3,0,3,1,11
캐세이,3,033,201304,08,황 판샨,G,16:35,1-3,0-1,0-0,1,1,2,1,1,0,0,0,2
캐세이,3,033,201304,08,Yang Ya-Hui,G,10:02,0-0,0-1,0-0,0,0,0,0,0,1,3,0,0
캐세이,3,033,201304,08,Chang Ning,C,01:26,0-1,0-0,0-0,0,0,0,0,2,0,0,0,0
캐세이,3,033,201304,08,팀합계,팀합계,200:00,18-41,6-16,10-12,13,23,36,17,21,8,15,4,64
