team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,34,033,201211,01,박혜진,G,40:00,2-7,2-4,2-3,0,7,7,6,3,2,3,2,12
우리은행,34,033,201211,01,임영희,F,40:00,4-11,3-4,1-1,0,2,2,5,2,0,1,1,18
우리은행,34,033,201211,01,티나,F,40:00,8-13,0-4,4-4,2,10,12,1,3,2,4,1,20
우리은행,34,033,201211,01,양지희,C,33:15,4-8,0-0,2-4,1,7,8,3,3,0,2,0,10
우리은행,34,033,201211,01,이승아,G,24:34,1-3,0-1,0-0,1,3,4,0,1,2,1,0,2
우리은행,34,033,201211,01,김은경,F,15:26,2-4,0-0,1-2,2,1,3,2,4,1,0,0,5
우리은행,34,033,201211,01,배혜윤,F,06:45,0-2,0-0,0-0,1,0,1,0,1,0,0,0,0
우리은행,34,033,201211,01,팀합계,팀합계,200:00,21-48,5-13,10-14,7,30,37,17,17,7,11,4,67
