team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KDB생명,5,033,201210,01,신정자,C,40:00,6-10,0-0,2-2,4,6,10,5,2,0,3,0,14
KDB생명,5,033,201210,01,조은주,F,40:00,2-5,1-1,0-0,0,5,5,4,3,1,1,0,7
KDB생명,5,033,201210,01,곽주영,C,33:41,5-5,0-0,0-0,2,0,2,1,5,2,0,0,10
KDB생명,5,033,201210,01,한채진,F,33:25,3-6,0-5,3-5,2,2,4,1,1,0,3,1,9
KDB생명,5,033,201210,01,김진영,G,26:45,3-5,1-4,0-0,0,2,2,2,2,2,1,0,9
KDB생명,5,033,201210,01,이경은,G,19:50,2-7,2-4,3-4,1,2,3,3,3,1,2,0,13
KDB생명,5,033,201210,01,원진아,C,06:19,2-2,0-0,0-0,1,0,1,0,0,1,0,0,4
KDB생명,5,033,201210,01,팀합계,팀합계,200:00,23-40,4-14,8-11,10,17,27,16,16,7,10,1,66
