team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
삼성생명,37,042,202112,01,이주연,G,37:18,1-6,2-5,1-2,2,3,5,4,2,3,1,0,9
삼성생명,37,042,202112,01,배혜윤,C,37:01,6-14,1-1,6-9,2,8,10,8,2,1,2,1,21
삼성생명,37,042,202112,01,윤예빈,G,34:49,3-4,1-7,5-7,2,6,8,0,2,1,1,0,14
삼성생명,37,042,202112,01,김단비,F,31:17,0-3,1-1,2-2,1,3,4,1,1,1,0,0,5
삼성생명,37,042,202112,01,이명관,F,26:14,2-5,0-7,2-5,1,2,3,0,3,0,1,0,6
삼성생명,37,042,202112,01,강유림,F,13:29,0-2,0-0,2-2,0,1,1,1,1,0,0,0,2
삼성생명,37,042,202112,01,이해란,F,08:43,0-0,0-0,1-2,0,1,1,0,4,0,0,0,1
삼성생명,37,042,202112,01,신이슬,G,05:39,0-3,0-0,0-0,1,1,2,0,0,1,0,0,0
삼성생명,37,042,202112,01,박혜미,F,02:59,0-0,0-0,0-0,0,0,0,0,2,0,1,0,0
삼성생명,37,042,202112,01,조수아,G,02:31,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
삼성생명,37,042,202112,01,팀합계,팀합계,200:00,12-37,5-21,19-29,9,26,35,14,17,7,6,1,58
