team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
BNK 썸,6,042,202110,01,이소희,G,31:34,3-6,4-6,3-4,0,2,2,1,4,0,4,0,21
BNK 썸,6,042,202110,01,진안,C,28:49,5-10,0-0,0-0,1,3,4,1,1,0,3,2,10
BNK 썸,6,042,202110,01,안혜지,G,27:45,3-8,0-2,4-4,0,1,1,7,4,0,0,0,10
BNK 썸,6,042,202110,01,김진영,F,26:43,2-4,0-4,2-4,3,4,7,0,4,2,2,0,6
BNK 썸,6,042,202110,01,강아정,F,25:59,0-0,0-3,1-2,0,1,1,1,3,0,1,0,1
BNK 썸,6,042,202110,01,김지은,F,12:24,0-1,1-2,0-0,1,1,2,0,0,0,0,0,3
BNK 썸,6,042,202110,01,노현지,F,09:55,0-2,0-1,0-0,0,0,0,1,1,0,0,0,0
BNK 썸,6,042,202110,01,김희진,G,08:50,0-1,0-1,0-0,1,0,1,0,0,2,0,0,0
BNK 썸,6,042,202110,01,김시온,G,08:16,0-2,0-0,0-0,0,2,2,0,1,0,0,0,0
BNK 썸,6,042,202110,01,이사빈,G,05:43,1-3,0-0,2-2,1,0,1,0,0,0,0,0,4
BNK 썸,6,042,202110,01,이주하,G,03:59,1-2,0-2,0-0,0,0,0,1,0,0,0,0,2
BNK 썸,6,042,202110,01,최민주,C,03:59,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0
BNK 썸,6,042,202110,01,김한별,F,03:51,0-0,0-0,0-0,1,0,1,0,0,0,0,0,0
BNK 썸,6,042,202110,01,문지영,C,02:13,0-0,0-0,1-4,1,2,3,0,0,0,0,0,1
BNK 썸,6,042,202110,01,팀합계,팀합계,200:00,15-40,5-21,13-20,10,16,26,12,18,4,10,2,58
