03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:14:26.905       dream.log  INFO REQ 20 GET /player/095533/season-stats?scope=per_game ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:14:26.905       dream.log  INFO REQ 20 200 in 239 μs
03.01.26 20:14:33.698       dream.log  INFO REQ 21 GET /player/095533/season-stats?scope=totals ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:14:33.699       dream.log  INFO REQ 21 200 in 649 μs
03.01.26 20:14:34.472       dream.log  INFO REQ 22 GET /player/095533/season-stats?scope=per_36 ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:14:34.473       dream.log  INFO REQ 22 200 in 373 μs
03.01.26 20:14:34.922       dream.log  INFO REQ 23 GET /player/095533/season-stats?scope=per_game ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:14:34.922       dream.log  INFO REQ 23 200 in 446 μs
03.01.26 20:21:55.473       dream.log  INFO REQ 24 GET /player/095533 ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:55.473       dream.log  INFO REQ 24 200 in 910 μs
03.01.26 20:21:55.482       dream.log  INFO REQ 25 GET /static/css/styles.css ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:55.482       dream.log  INFO REQ 26 GET /static/images/player_095533.png ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
