05.01.26 06:41:12.211                       Running on 0.0.0.0:8000 (http://localhost:8000)
05.01.26 06:41:12.212                       Type Ctrl+C to stop
05.01.26 06:48:32.581       dream.log  INFO REQ 19 GET /%22/static/images/player_095916.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.581       dream.log  WARN REQ 19 404 in 12 μs
05.01.26 06:48:32.582       dream.log  INFO REQ 20 GET /%22/static/images/player_095911.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.582       dream.log  WARN REQ 20 404 in 11 μs
05.01.26 06:48:32.582       dream.log  INFO REQ 21 GET /%22/static/images/player_095189.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.582       dream.log  WARN REQ 21 404 in 10 μs
05.01.26 06:48:32.582       dream.log  INFO REQ 22 GET /%22/static/images/player_095259.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.582       dream.log  WARN REQ 22 404 in 13 μs
05.01.26 06:48:32.582       dream.log  INFO REQ 23 GET /%22/static/images/player_095972.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.582       dream.log  WARN REQ 23 404 in 10 μs
05.01.26 06:48:32.583       dream.log  INFO REQ 24 GET /%22/static/images/player_095822.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.583       dream.log  WARN REQ 24 404 in 10 μs
05.01.26 06:48:32.583       dream.log  INFO REQ 25 GET /%22/static/images/player_095636.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.583       dream.log  WARN REQ 25 404 in 10 μs
05.01.26 06:48:32.584       dream.log  INFO REQ 26 GET /%22/static/images/player_095484.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.584       dream.log  WARN REQ 26 404 in 16 μs
05.01.26 06:48:32.584       dream.log  INFO REQ 27 GET /%22/static/images/player_095041.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.584       dream.log  WARN REQ 27 404 in 22 μs
05.01.26 06:48:32.798       dream.log  INFO REQ 28 GET /favicon.ico 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.798       dream.log  WARN REQ 28 404 in 68 μs
05.01.26 06:48:37.520       dream.log  INFO REQ 29 GET /leaders 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.546       dream.log  INFO REQ 29 200 in 26427 μs
05.01.26 06:48:37.550       dream.log  INFO REQ 30 GET /static/css/styles.css 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.550       dream.log  INFO REQ 30 200 in 290 μs
05.01.26 06:48:37.550       dream.log  INFO REQ 31 GET /%22/static/images/player_095104.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.550       dream.log  WARN REQ 31 404 in 27 μs
05.01.26 06:48:37.551       dream.log  INFO REQ 32 GET /%22/static/images/player_095533.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.551       dream.log  WARN REQ 32 404 in 37 μs
05.01.26 06:48:37.551       dream.log  INFO REQ 33 GET /%22/static/images/player_095248.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.551       dream.log  WARN REQ 33 404 in 29 μs
05.01.26 06:48:37.551       dream.log  INFO REQ 34 GET /%22/static/images/player_095639.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.551       dream.log  WARN REQ 34 404 in 31 μs
05.01.26 06:48:37.552       dream.log  INFO REQ 35 GET /%22/static/images/player_095263.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.552       dream.log  WARN REQ 35 404 in 35 μs
05.01.26 06:48:37.553       dream.log  INFO REQ 36 GET /%22/static/images/player_095499.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.553       dream.log  WARN REQ 36 404 in 25 μs
05.01.26 06:48:37.553       dream.log  INFO REQ 37 GET /%22/static/images/player_095710.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.553       dream.log  WARN REQ 37 404 in 34 μs
05.01.26 06:48:37.561       dream.log  INFO REQ 38 GET /%22/static/images/player_095115.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.561       dream.log  WARN REQ 38 404 in 47 μs
05.01.26 06:48:37.561       dream.log  INFO REQ 39 GET /%22/static/images/player_095484.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.561       dream.log  WARN REQ 39 404 in 25 μs
05.01.26 06:48:37.561       dream.log  INFO REQ 40 GET /%22/static/images/player_096033.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.561       dream.log  WARN REQ 40 404 in 12 μs
05.01.26 06:48:37.562       dream.log  INFO REQ 41 GET /%22/static/images/player_095912.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.562       dream.log  WARN REQ 41 404 in 25 μs
05.01.26 06:48:37.562       dream.log  INFO REQ 42 GET /%22/static/images/player_095778.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.562       dream.log  WARN REQ 42 404 in 27 μs
05.01.26 06:48:37.562       dream.log  INFO REQ 43 GET /%22/static/images/player_095259.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.562       dream.log  WARN REQ 43 404 in 15 μs
05.01.26 06:48:37.562       dream.log  INFO REQ 44 GET /%22/static/images/player_095999.png/%22 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.562       dream.log  WARN REQ 44 404 in 30 μs
