team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
금호생명,43,013,200308,01,곽주영,C,40:00,9-13,1-3,6-9,4,0,4,2,3,0,1,1,27
금호생명,43,013,200308,01,강주림,F,36:49,0-1,0-2,0-0,1,2,3,0,5,1,3,0,0
금호생명,43,013,200308,01,마아시,C,33:16,13-25,0-0,4-4,2,11,13,4,3,2,1,0,30
금호생명,43,013,200308,01,맥케인,G,30:56,4-5,1-5,4-5,0,2,2,3,1,1,6,0,15
금호생명,43,013,200308,01,이은영,F,22:54,0-0,1-4,0-0,1,3,4,0,3,0,1,0,3
금호생명,43,013,200308,01,박은진,F,18:34,1-5,0-2,0-0,0,2,2,0,2,0,0,1,2
금호생명,43,013,200308,01,최미연,G,09:04,0-0,0-0,0-0,0,2,2,0,1,0,1,0,0
금호생명,43,013,200308,01,강민정,F,03:11,1-2,0-0,0-0,0,0,0,0,0,0,0,0,2
금호생명,43,013,200308,01,김수경,G,03:02,0-0,0-0,0-0,0,0,0,0,1,0,1,0,0
금호생명,43,013,200308,01,김진아,G,02:14,1-2,0-0,0-0,0,1,1,1,0,0,1,0,2
금호생명,43,013,200308,01,팀합계,팀합계,200:00,29-53,3-16,14-18,8,23,31,10,19,4,15,2,81
